FR,RU_GOLD,RU_MT,FR_TERMS,RU_TERMS_GOLD,COMET_MT,TER_MT
"6. Souligne qu'il convient de maintenir, lors des débats qui auront lieu ultérieurement, l'élan donné par le Dialogue de haut niveau ;","6. подчеркивает необходимость продолжения усилий, предпринимавшихся в течение Диалога высокого уровня в ходе последующих дискуссий;","6. подчеркивает необходимость сохранения в ходе последующих дискуссий импульса, полученного в ходе диалога на высоком уровне;",[],[],0.6187888383865356,60.0
"7. Encourage la promotion du dialogue entre les médias de toutes les cultures et civilisations, souligne que chacun a droit à la liberté d'expression et réaffirme que l'exercice de ce droit comporte certaines obligations et responsabilités et peut, par conséquent, être soumis à certaines restrictions, mais seulement à celles qui sont prescrites par la loi et nécessaires au respect des droits ou de la réputation d'autrui ou à la protection de la sécurité nationale, de l'ordre public, de la moralité ou de la santé publique ;","7. призывает поощрять диалог между средствами массовой информации всех культур и цивилизаций, подчеркивает, что каждый человек имеет право на свободу слова, и подтверждает, что осуществление этого права предполагает особые обязательства и ответственность и поэтому может подпадать под определенные ограничения, но лишь те, которые предусмотрены законом и необходимы для уважения прав или репутации других лиц, для охраны национальной безопасности, общественного порядка, здоровья людей или нравственности;","7. поощряет развитие диалога между средствами массовой информации всех культур и цивилизаций, подчеркивает, что каждый имеет право на свободу выражения мнения и вновь подтверждает, что осуществление этого права влечет за собой определенные обязательства и ответственность и поэтому может подпадать под определенные ограничения, но только те, которые установлены законом и необходимы для соблюдения прав или репутации других лиц или для защиты национальной безопасности, общественного порядка, нравственности или здоровья населения;",[],[],0.8101041316986084,31.25
"8. Décide de proclamer l'année 2010 Année internationale du rapprochement des cultures, et recommande d'organiser à cette occasion des activités appropriées sur le dialogue, l'entente et la coopération entre les religions et les cultures au service de la paix, notamment un dialogue de haut niveau et/ou des rencontres interactives informelles avec des représentants d'organisations de la société civile ;","8. постановляет провозгласить 2010 год Международным годом сближения культур и рекомендует организовать в течение этого года соответствующие мероприятия, посвященные межрелигиозному и межкультурному диалогу, взаимопониманию и сотрудничеству на благо мира, в том числе диалог на высоком уровне и/или неформальные интерактивные слушания совместно с гражданским обществом;","8. постановил объявить 2010 год Международным годом сближения культур и рекомендовал в связи с этим организовать соответствующие мероприятия по диалогу, взаимопониманию и сотрудничеству между религиями и культурами в интересах мира, в частности, провести диалог на высоком уровне и/или неформальные взаимодействующие встречи с представителями организаций гражданского общества;",['Année internationale du rapprochement des cultures'],['Международный год сближения культур'],0.8237738013267517,54.54545454545454
9. Prie le Secrétaire général de lui rendre compte à sa soixante-troisième session de l'application de la présente résolution à sa soixante-troisième session.,9. просит Генерального секретаря представить Генеральной Ассамблее на ее шестьдесят третьей сессии доклад об осуществлении настоящей резолюции.,9. просит Генерального секретаря доложить на ее шестьдесят третьей сессии о ходе выполнения настоящей резолюции.,"['RÉSOLUTION', 'Secrétaire général']","['РЕЗОЛЮЦИЯ', 'Генеральный секретарь']",0.7812068462371826,35.294117647058826
RÉSOLUTION 62/91,РЕЗОЛЮЦИЯ 62/91,Французский: РЕЗОЛЮЦИЯ 62/91,['RÉSOLUTION'],['РЕЗОЛЮЦИЯ'],0.6512690186500549,50.0
"Adoptée à la 74e séance plénière, le 17 décembre 2007, sans avoir été mise aux voix, sur la base du projet de résolution A/62/L.30 et Add.1, ayant pour auteurs les pays suivants : Afghanistan, Afrique du Sud, Algérie, Allemagne, Andorre, Angola, Antigua-et-Barbuda, Arabie saoudite, Argentine, Arménie, Australie, Autriche, Azerbaïdjan, Bahamas, Bangladesh, Bélarus, Belgique, Bénin, Bhoutan, Bolivie, Bosnie-Herzégovine, Botswana, Brésil, Brunéi Darussalam, Burkina Faso, Burundi, Cambodge, Cameroun, Canada, Cap-Vert, Chili, Chine, Chypre, Colombie, Comores, Congo, Costa Rica, Côte d'Ivoire, Croatie, Cuba, Danemark, Djibouti, Égypte, El Salvador, Équateur, Érythrée, Estonie, Éthiopie, ex-République yougoslave de Macédoine, Fédération de Russie, Finlande, France, Gabon, Gambie, Ghana, Grèce, Grenade, Guatemala, Guinée, Guyana, Haïti, Honduras, Hongrie, Inde, Indonésie, Iran (République islamique d'), Iraq, Irlande, Islande, Israël, Italie, Jamahiriya arabe libyenne, Jamaïque, Japon, Jordanie, Kazakhstan, Kenya, Kirghizistan, Koweït, Lesotho, Liban, Libéria, Liechtenstein, Lituanie, Luxembourg, Madagascar, Malaisie, Malawi, Maldives, Mali, Malte, Maroc, Maurice, Mauritanie, Mexique, Moldova, Monaco, Mongolie, Monténégro, Myanmar, Népal, Nicaragua, Niger, Nigéria, Norvège, Nouvelle-Zélande, Ouganda, Pakistan, Panama, Paraguay, Pays-Bas, Pérou, Philippines, Pologne, Portugal, Qatar, République arabe syrienne, République centrafricaine, République de Corée, République démocratique populaire lao, République dominicaine, République populaire démocratique de Corée, République tchèque, République-Unie de Tanzanie, Roumanie, Royaume-Uni de Grande-Bretagne et d'Irlande du Nord, Saint-Marin, Saint-Vincent-et-les Grenadines, Samoa, Sénégal, Serbie, Singapour, Slovaquie, Slovénie, Soudan, Sri Lanka, Suède, Suriname, Swaziland, Tadjikistan, Tchad, Thaïlande, Trinité-et-Tobago, Tunisie, Turquie, Uruguay, Vanuatu, Venezuela (République bolivarienne du), Viet Nam, Zambie, Zimbabwe","Принята без голосования на 74-м пленарном заседании 17 декабря 2007 года по проекту резолюции A/62/L.30 и Add.1; его авторы: Австралия, Австрия, Азербайджан, Алжир, Ангола, Андорра, Антигуа и Барбуда, Аргентина, Армения, Афганистан, Багамские Острова, Бангладеш, Беларусь, Бельгия, Бенин, Боливия, Босния и Герцеговина, Ботсвана, Бразилия, Бруней-Даруссалам, Буркина-Фасо, Бурунди, Бутан, бывшая югославская Республика Македония, Вануату, Венгрия, Венесуэла (Боливарианская Республика), Вьетнам, Габон, Гаити, Гайана, Гамбия, Гана, Гватемала, Гвинея, Германия, Гондурас, Гренада, Греция, Дания, Джибути, Доминиканская Республика, Египет, Замбия, Зимбабве, Израиль, Индия, Индонезия, Иордания, Ирак, Иран (Исламская Республика), Ирландия, Исландия, Италия, Кабо-Верде, Казахстан, Камбоджа, Камерун, Канада, Катар, Кения, Кипр, Китай, Колумбия, Коморские Острова, Конго, Корейская Народно-Демократическая Республика, Коста-Рика, Кот-д'Ивуар, Куба, Кувейт, Кыргызстан, Лаосская Народно-Демократическая Республика, Лесото, Либерия, Ливан, Ливийская Арабская Джамахирия, Литва, Лихтенштейн, Люксембург, Маврикий, Мавритания, Мадагаскар, Малави, Малайзия, Мали, Мальдивские Острова, Мальта, Марокко, Мексика, Молдова, Монако, Монголия, Мьянма, Непал, Нигер, Нигерия, Нидерланды, Никарагуа, Новая Зеландия, Норвегия, Объединенная Республика Танзания, Пакистан, Панама, Парагвай, Перу, Польша, Португалия, Республика Корея, Российская Федерация, Румыния, Сальвадор, Самоа, Сан-Марино, Саудовская Аравия, Свазиленд, Сенегал, Сент-Винсент и Гренадины, Сербия, Сингапур, Сирийская Арабская Республика, Словакия, Словения, Соединенное Королевство Великобритании и Северной Ирландии, Судан, Суринам, Таджикистан, Таиланд, Тринидад и Тобаго, Тунис, Турция, Уганда, Уругвай, Филиппины, Финляндия, Франция, Хорватия, Центральноафриканская Республика, Чад, Черногория, Чешская Республика, Чили, Швеция, Шри-Ланка, Эквадор, Эритрея, Эстония, Эфиопия, Южная Африка, Ямайка, Япония","Принята на 74-й пленарной сессии 17 декабря 2007 года без голосования на основе проекта резолюции A/62/L.30 и Add.1, подготовленного следующими странами: Афганистан, Африка Южная, Алжир, Германия, Андорра, Ангола, Антигуа и Барбуда, Саудовская Аравия, Аргентина, Армения, Австралия, Австрия, Азербайджан, Багамские Острова, Бангладеш, Беларусь, Бельгия, Бенин, Бутан, Боливия, Босния и Герцеговина, Ботсвана, Бразилия, Бруней Даруссалам, Буркина-Фасо, Бурунди, Камбоджа, Камерун, Канада, Кабо-Верде, Колумбия, Коморские Острова, Конго, Коста-Рика, Кот-д'Ивуар, Хорватия, Куба, Дания, Джибути, Египет, Эль-Сальвадор, Эквадор, Эритрея, Эстония, Эфиопия, Бывшая югославская Республика Македония, Российская Федерация, Финляндия, Франция, Габон, Гамбия, Гана, Греция, Гренада, Гватемала, Гвинея, Гайана, Гондурас, Венгрия, Индия, Индонезия, Иран (Исламская Республика), Ирак, Ирландия, Исландия, Израиль, Италия, Иракский Курдистан, Ямайка, Япония, Иордания, Казахстан, Кения, Киргизия, Кувейт, Лесото, Ливан, Либерия, Лихтенштейн, Литва, Люксембург, Мадагаскар, Малайзия, Малави, Мальдивы, Мали, Мальта, Марокко, Маврикий, Мексика, Молдова, Монако, Монголия, Черногория, Мьянма, Непал, Никарагуа, Нигерия, Норвегия, Новая Зеландия, Оман, Остров Вознесения, Пакистан, Панама, Парагвай, Нидерланды, Перу, Филиппины, Польша, Португалия, Катар, Сирийская Арабская Республика, Центральноафриканская Республика, Республика Корея, Народно-демократическая Республика Лаос, Доминиканская Республика, Корейская Народно-Демократическая Республика, Чешская Республика, Объединенная Республика Танзания, Румыния, Соединенное Королевство Великобритании и Северной Ирландии, Сан-Марино, Сент-Винсент и Гренадины, Самоа, Сенегал, Сербия, Сингапур, Словакия, Словения, Судан, Шри-Ланка, Швеция, Суринам, Эсватини, Таджикистан, Чад, Таиланд, Тринидад и Тобаго, Тунис, Турция, Уругвай, Вануату, Венесуэла (Боливарианская Республика), Вьетнам, Замбия, Зимбабве","['sans avoir été mise aux voix', 'RÉSOLUTION', 'séance plénière']","['без голосования', 'РЕЗОЛЮЦИЯ', 'пленарное заседание']",1.0174636840820312,73.45971563981043
"62/91. Renforcement des secours d'urgence et des activités de relèvement, de reconstruction et de prévention à la suite du tsunami catastrophique survenu dans l'océan Indien","62/91. Укрепление деятельности по оказанию чрезвычайной помощи, восстановлению, реконструкции и предотвращению после катастрофического цунами в Индийском океане","62/91. Укрепление системы чрезвычайного реагирования и деятельности по восстановлению, реконструкции и предотвращению катастрофического цунами в Индийском океане",[],[],0.8917317390441895,35.294117647058826
"L'Assemblée générale,","Генеральная Ассамблея,","Генеральная Ассамблея,",['Assemblée générale'],['Генеральная Ассамблея'],1.3165725469589233,0.0
"Rappelant ses résolutions 46/182 du 19 décembre 1991, 57/152 du 16 décembre 2002, 57/256 du 20 décembre 2002, 58/25 du 5 décembre 2003, 58/214 et 58/215 du 23 décembre 2003, 59/212 du 20 décembre 2004, 59/231 et 59/233 du 22 décembre 2004, 59/279 du 19 janvier 2005, 60/15 du 14 novembre 2005 et 61/132 du 14 décembre 2006,","ссылаясь на свои резолюции 46/182 от 19 декабря 1991 года, 57/152 от 16 декабря 2002 года, 57/256 от 20 декабря 2002 года, 58/25 от 5 декабря 2003 года, 58/214 и 58/215 от 23 декабря 2003 года, 59/212 от 20 декабря 2004 года, 59/231 и 59/233 от 22 декабря 2004 года, 59/279 от 19 января 2005 года, 60/15 от 14 ноября 2005 года и 61/132 от 14 декабря 2006 года,","Напоминая о своих резолюциях 46/182 от 19 декабря 1991 года, 57/152 от 16 декабря 2002 года, 57/256 от 20 декабря 2002 года, 58/25 от 5 декабря 2003 года, 58/214 и 58/215 от 23 декабря 2003 года, 59/212 от 20 декабря 2004 года, 59/231 и 59/233 от 22 декабря 2004 года, 59/279 от 19 января 2005 года, 60/15 от 14 ноября 2005 года и 61/132 от 14 декабря 2006 года,",['RÉSOLUTION'],['РЕЗОЛЮЦИЯ'],0.9458293318748474,5.797101449275362
"Saluant la rapidité de réaction de la communauté internationale, des gouvernements, de la société civile, du secteur privé et de particuliers ainsi que le soutien, l'assistance généreuse et les contributions qu'ils continuent d'apporter aux opérations de secours, de relèvement et de reconstruction, qui reflètent l'esprit de solidarité et de coopération internationales face à la catastrophe,","высоко оценивая оперативную реакцию, постоянную поддержку, щедрую помощь и взносы со стороны международного сообщества, правительств, гражданского общества, частного сектора и отдельных лиц в связи с усилиями по оказанию чрезвычайной помощи, восстановлению и реконструкции, что является отражением духа международной солидарности и сотрудничества перед лицом стихийного бедствия,","приветствуя быстроту реагирования международного сообщества, правительств, гражданского общества, частного сектора и отдельных лиц, а также поддержку, щедрую помощь и вклад, которые они продолжают оказывать в спасательные, восстановительные и восстановительные работы, которые отражают дух международной солидарности и сотрудничества перед лицом катастрофы,",[],[],0.7332859039306641,60.0
"Prenant acte de la Déclaration sur les mesures destinées à renforcer les secours d'urgence, le relèvement, la reconstruction et la prévention au lendemain du séisme et du tsunami du 26 décembre 2004, adoptée à la réunion extraordinaire des dirigeants de l'Association des nations de l'Asie du Sud-Est tenue à Jakarta le 6 janvier 2005A/59/669, annexe.,","отмечая Декларацию о мерах по укреплению деятельности по оказанию чрезвычайной помощи, восстановлению, реконструкции и предотвращению после катастрофического землетрясения и цунами, произошедшего 26 декабря 2004 года, принятую на специальной встрече руководителей стран - членов Ассоциации государств Юго-Восточной Азии, состоявшейся в Джакарте 6 января 2005 годаA/59/669, приложение.,","Принимая к сведению Декларацию о мерах по укреплению оперативного реагирования, восстановлению, реконструкции и предотвращению последствий землетрясения и цунами 26 декабря 2004 года, принятую на внеочередном совещании руководителей Ассоциации государств Юго-Восточной Азии, состоявшемся в Джакарте 6 января 2005 годаA/59/669, приложение.,",['Annexe'],['Приложение'],0.7839652895927429,40.0
"Rappelant la Déclaration de HyogoA/CONF.206/6, chap. I, résolution 1. et le Cadre d'action de Hyogo pour 2005-2015Cadre d'action de Hyogo pour 2005-2015 : Pour des nations et des collectivités résilientes face aux catastrophes (A/CONF.206/6, chap. I, résolution 2)., ainsi que la déclaration commune publiée à l'issue de la session extraordinaire sur la catastrophe de l'océan IndienDéclaration commune publiée à l'issue de la session extraordinaire sur la catastrophe de l'océan Indien : réduire les risques pour un avenir plus sûr (A/CONF.206/6, annexe II)., adoptés par la Conférence mondiale sur la prévention des catastrophes tenue à Kobe, dans la préfecture de Hyogo (Japon), du 18 au 22 janvier 2005,","ссылаясь на Хиогскую декларациюA/CONF.206/6, глава I, резолюция 1. и Хиогскую рамочную программу действий на 2005-2015 годыХиогская рамочная программа действий на 2005-2015 годы: создание потенциала противодействия бедствиям на уровне государств и общин (A/CONF.206/6, глава I, резолюция 2)., а также на общее заявление участников специального заседания, посвященного бедствию в Индийском океанеОбщее заявление участников специального заседания на тему «Бедствие в Индийском океане: снижение риска бедствий в целях обеспечения более безопасного будущего» (A/CONF.206/6, приложение II)., принятые на Всемирной конференции по уменьшению опасности бедствий, состоявшейся в Кобе, Хиого, Япония, 18-22 января 2005 года,","Напоминая о Декларации ХиогаA/CONF.206/6, chap. I, resolution 1. и Хиогском рамочном документе действий на 2005-2015 годыХиогская рамочная программа действий на 2005-2015 годы: для устойчивых к катастрофам наций и сообществ (A/CONF.206/6, chap. I, resolution 2)., а также о совместной декларации, принятой по итогам внеочередной сессии по катастрофе в Индийском океанеСовместной декларации, принятой по итогам внеочередной сессии по катастрофе в Индийском океане: снижение рисков для более безопасного будущего (A/CONF.206/6, annexe II)., принятых Всемирной конференцией по предотвращению катастроф, состоявшейся в городе Кобе, префектура Хиого (Япония) с 18 по 22 января 2005 года,","['RÉSOLUTION', ""Cadre d'action de Hyogo"", 'Annexe', 'Déclaration de Hyogo']","['РЕЗОЛЮЦИЯ', 'Хиогская рамочная программа действий', 'Приложение', 'Хиогская декларация']",0.3180723786354065,67.04545454545455
"Prenant acte du rapport du Secrétaire généralA/62/83-E/2007/67.,","принимая к сведению доклад Генерального секретаряA/62/83-E/2007/67.,","Приняв к сведению доклад Генерального секретаряA/62/83-E/2007/67,",['Secrétaire général'],['Генеральный секретарь'],1.0960884094238281,33.33333333333333
"Soulignant la nécessité de continuer à élaborer et à mettre en œuvre des stratégies de prévention des risques de catastrophe et à intégrer ces stratégies, s'il y a lieu, dans les plans nationaux de développement, en particulier par le biais de la mise en œuvre de la Stratégie internationale de prévention des catastrophes, afin d'améliorer la capacité de récupération des populations après les catastrophes et de réduire les risques auxquels ces populations, ainsi que leurs moyens de subsistance, leur infrastructure économique et sociale et leurs ressources naturelles sont exposés, et insistant sur le fait que les gouvernements doivent élaborer et mettre en œuvre des plans efficaces pour la mise en place de systèmes d'alerte en cas de danger en vue de réduire l'impact des catastrophes,","подчеркивая необходимость продолжения разработки и осуществления стратегий уменьшения опасности бедствий и обеспечения, в соответствующих случаях, их учета в национальных планах развития, в частности посредством реализации Международной стратегии уменьшения опасности бедствий, с тем чтобы повысить сопротивляемость населения таким бедствиям и уменьшить их опасность для населения, его средств к существованию, социально-экономической инфраструктуры и экологических ресурсов, и подчеркивая также необходимость разработки и осуществления правительствами эффективных национальных планов по созданию систем предупреждения о стихийных бедствиях с использованием подхода, ориентированного на уменьшение опасности бедствий,","подчеркивая необходимость продолжать разработку и осуществление стратегий предотвращения рисков катастроф и, по мере необходимости, включать эти стратегии в национальные планы развития, в частности путем осуществления Международной стратегии по предотвращению катастроф, с тем чтобы повысить потенциал восстановления населения после катастроф и снизить риски, которым подвергаются это население, а также его средства существования, экономическая и социальная инфраструктура и природные ресурсы, и подчеркивая, что правительства должны разрабатывать и осуществлять эффективные планы по созданию систем предупреждения о чрезвычайных ситуациях в целях снижения воздействия катастроф,",[],[],0.7044606804847717,74.68354430379746
"Soulignant que la réduction des catastrophes, y compris de la vulnérabilité aux catastrophes naturelles, est un facteur important du développement durable,","особо отмечая, что уменьшение опасности бедствий, включая снижение степени уязвимости перед лицом стихийных бедствий, является одним из важных условий обеспечения устойчивого развития,","Сообщается, что сокращение катастроф, включая уязвимость к стихийным бедствиям, является важным фактором устойчивого развития.",[],[],0.6459173560142517,81.81818181818183
"Soulignant également le rôle de la Commission océanographique intergouvernementale de l'Organisation des Nations Unies pour l'éducation, la science et la culture pour ce qui est de coordonner la mise en place du Système d'alerte aux tsunamis dans l'océan Indien et d'atténuation des effets des tsunamis, compte tenu de l'importance d'un renforcement de la coopération et de la coordination régionales et sous-régionales, indispensable à l'efficacité de systèmes d'alerte rapide aux tsunamis,","особо отмечая также роль Межправительственной океанографической комиссии Организации Объединенных Наций по вопросам образования, науки и культуры в координации усилий по созданию Системы предупреждения о цунами в Индийском океане и смягчения их последствий, учитывая важность укрепления регионального и субрегионального сотрудничества и координации, которые необходимы для заключения эффективных соглашений о системах раннего предупреждения о цунами,","При этом подчеркивая роль Межправительственной океанографической комиссии Организации Объединенных Наций по вопросам образования, науки и культуры в координации создания Системы оповещения о цунами в Индийском океане и смягчения последствий цунами, учитывая важность укрепления регионального и субрегионального сотрудничества и координации, необходимых для эффективности системы быстрого оповещения о цунами,","['Organisation des Nations Unies', 'Commission océanographique intergouvernementale']","['Организация Объединенных Наций', 'Межправительственная океанографическая комиссия']",0.7907633781433105,33.9622641509434
"Se félicitant de l'activation du Fonds d'affectation spéciale multidonateurs pour un dispositif d'alerte rapide aux tsunamis dans l'océan Indien et en Asie du Sud-Est, et invitant les gouvernements, les pays donateurs, les organisations internationales concernées, les institutions financières internationales et régionales, le secteur privé et la société civile à envisager d'y contribuer au moyen de contributions financières et de la coopération technique pour permettre la création d'un système d'alerte rapide correspondant aux besoins des pays de l'océan Indien et de l'Asie du Sud-Est, afin que le Fonds d'affectation spéciale contribue à la mise au point d'un système d'alerte rapide intégré doté de ressources suffisantes et fondé sur un réseau de centres collaborant entre eux et reliés au système mondial,","с удовлетворением отмечая начало функционирования Целевого фонда добровольных взносов различных доноров для деятельности по обеспечению раннего предупреждения о цунами в Индийском океане и Юго-Восточной Азии и предлагая правительствам, странам-донорам, соответствующим международным организациям, международным и региональным финансовым учреждениям, частному сектору и гражданскому обществу рассмотреть возможность своего участия в деятельности этого Целевого фонда путем предоставления финансовых взносов и технической помощи в целях поддержки усилий по созданию системы раннего предупреждения о цунами в соответствии с потребностями стран Индийского океана и Юго-Восточной Азии, с тем чтобы Целевой фонд содействовал созданию комплексной системы раннего предупреждения, располагающей адекватными ресурсами и включающей сеть сотрудничающих центров, объединенных в глобальную систему,","Приветствуя активизацию многостороннего специального фонда для создания быстрого предупреждения о цунами в Индийском океане и Юго-Восточной Азии и призывая правительства, донорские страны, соответствующие международные организации, международные и региональные финансовые учреждения, частный сектор и гражданское общество рассмотреть возможность внести в него взносы в виде финансовых средств и технического сотрудничества для создания быстрого предупреждения, отвечающего потребностям стран Индийского океана и Юго-Восточной Азии, с тем чтобы специальный фонд способствовал созданию единой системы быстрого предупреждения, обеспеченной достаточными ресурсами и основанной на сети взаимосвязанных центров, связанных с мировой системой,",[],[],0.6545098423957825,67.64705882352942
"Insistant sur la nécessité de rester déterminé à aider les pays touchés et leurs populations, en particulier les groupes les plus vulnérables, à se remettre complètement des effets dévastateurs et traumatisants de la catastrophe, y compris dans leurs activités de relèvement et de reconstruction à moyen et à long terme, et se félicitant des mesures d'aide prises à cette fin par les gouvernements et la communauté internationale,","подчеркивая необходимость неизменной приверженности делу оказания помощи пострадавшим странам и их народам, особенно наиболее уязвимым группам, в целях полного преодоления катастрофических и травматических последствий стихийного бедствия, включая содействие их среднесрочным и долгосрочным усилиям по восстановлению и реконструкции, и приветствуя меры по оказанию помощи, принимаемые в этой связи правительствами и международным сообществом,","настаивая на необходимости продолжать твердо намереваться оказывать помощь пострадавшим странам и их населению, особенно наиболее уязвимым группам, чтобы полностью восстановиться от разрушительных и травмирующих последствий катастрофы, в том числе в их деятельности по восстановлению и реконструкции в среднесрочной и долгосрочной перспективе, и приветствуя меры помощи, принятые в этой связи правительствами и международным сообществом,",[],[],0.5415261387825012,58.82352941176471
"Notant que les pays touchés par le tsunami ont progressé sur la voie du relèvement et de la reconstruction, et notant également que des efforts et une assistance restent nécessaires pour rétablir les conditions d'un développement durable,","отмечая прогресс в области восстановления, достигнутый пострадавшими от цунами странами, и отмечая также сохраняющуюся необходимость усилий и помощи для воссоздания базы долгосрочного устойчивого развития,","отмечая, что затронутые цунами страны продвинулись по пути восстановления и реконструкции, а также отмечая, что для восстановления условий устойчивого развития по-прежнему необходимы усилия и помощь,",[],[],0.6327188014984131,100.0
"Se félicitant de la création ou du renforcement dans certains des pays touchés d'institutions chargées de la gestion des catastrophes qui assurent la direction d'ensemble des activités de réduction des risques de catastrophe et de renforcement des mesures d'urgence aux niveaux local et national,","приветствуя создание или укрепление в некоторых из пострадавших стран учреждений по преодолению последствий бедствий, осуществляющих руководство всей деятельностью по уменьшению опасности бедствий, а также по повышению эффективности мер реагирования на чрезвычайные ситуации на местном и национальном уровнях,","приветствуя создание или укрепление в некоторых затронутых странах учреждений по управлению в чрезвычайных ситуациях, которые обеспечивают общее руководство мероприятиями по снижению риска бедствий и укреплению мер по предотвращению чрезвычайных ситуаций на местном и национальном уровнях,",[],[],0.8402280807495117,62.16216216216216
"1. Prend note avec satisfaction des efforts déployés par les gouvernements des pays touchés pour mener à bien le relèvement et la reconstruction, ainsi que pour améliorer la transparence et la responsabilité financières pour ce qui est de l'acheminement et de l'utilisation des ressources, y compris en ayant recours, si nécessaire, à des experts internationaux de la vérification des comptes publics ;","1. с признательностью отмечает прилагаемые правительствами пострадавших стран усилия по восстановлению и реконструкции, а также по повышению финансовой транспарентности и подотчетности в смысле распределения и использования ресурсов, в том числе с привлечением в соответствующих случаях международных аудиторов;","1. с удовлетворением принимает к сведению усилия, прилагаемые правительствами затронутых стран для успешного осуществления восстановления и реконструкции, а также для повышения прозрачности и финансовой ответственности в отношении поступления и использования ресурсов, в том числе при необходимости с привлечением международных экспертов по проверке государственных счетов;",[],[],0.679385781288147,67.56756756756756
"2. Mesure et encourage les efforts visant à promouvoir, dans les pays donateurs et bénéficiaires, la transparence et la responsabilité, notamment par la mise en place d'un système unifié pour le suivi en ligne des informations financières et sectorielles, et souligne combien il importe que les informations sur l'évaluation des besoins et sur l'origine et l'utilisation des fonds soient exactes et à jour, et que les donateurs continuent, si nécessaire, d'appuyer le développement des systèmes de suivi en ligne dans les pays touchés ;","2. признает и поддерживает нынешние усилия по повышению транспарентности и подотчетности в работе доноров и стран-получателей помощи, в частности посредством использования единой онлайновой системы отслеживания информации по финансовым и секторальным вопросам, и отмечает важность получения своевременной и точной информации о предполагаемых потребностях, а также об источниках и направлениях использования средств и важность дальнейшей поддержки со стороны доноров, когда она необходима, для продолжения работы по созданию онлайновых систем отслеживания информации в пострадавших странах;","2. Измеряет и поощряет усилия, направленные на продвижение в странах-донорах и странах-бенефициарах прозрачности и ответственности, в частности путем создания единой системы онлайн-отслеживания финансовых и секторальных данных, и подчеркивает, насколько важно, чтобы информация о оценке потребностей, а также о происхождении и использовании средств была точной и актуальной, и чтобы доноры продолжали, если это необходимо, поддерживать развитие систем онлайн-отслеживания в затронутых странах;",[],[],0.5024535655975342,75.0
"3. Souligne l'importance d'un processus coordonné permettant d'accéder aux enseignements tirés des mesures prises par la communauté internationale face à une situation humanitaire donnée et, à cet égard, se félicite des efforts des gouvernements, des organisations internationales et des institutions spécialisées des Nations Unies ainsi que d'autres efforts conjoints visant à identifier et à évaluer les enseignements tirés de la réaction et des opérations de relèvement à la suite du tsunami afin de renforcer la coordination et l'efficacité des mesures, notamment de relèvement, prises à la suite d'une catastrophe","3. подчеркивает важность скоординированного доступа к урокам, вынесенным из международного опыта реагирования на ту или иную чрезвычайную ситуацию гуманитарного характера, и в этой связи приветствует соответствующие усилия правительств, международных организаций и учреждений Организации Объединенных Наций, а также различных других заинтересованных сторон по анализу и оценке уроков операций по оказанию помощи пострадавшим от цунами и восстановлению разрушенного в целях обеспечения большей скоординированности и эффективности мер реагирования на бедствия и последующей деятельности по восстановлению","3. Подчеркивает важность скоординированного процесса, позволяющего использовать опыт, полученный в результате мер, принятых международным сообществом в ответ на конкретную гуманитарную ситуацию, и в этой связи приветствует усилия правительств, международных организаций и специализированных учреждений Организации Объединенных Наций, а также другие совместные усилия по определению и оценке опыта реагирования и операций по оказанию помощи в результате цунами, с тем чтобы укрепить координацию и эффективность мер, в частности мер по восстановлению, принятых после катастрофы",[],[],0.7227534651756287,63.888888888888886
